# timestamp,positive_sequence_voltage,distribution_load
2013-08-28 04:10:00 PST,+131064+0j,+1.521e+06+821286j
2013-08-28 04:11:00 PST,+131065+0j,+1.51886e+06+820343j
2013-08-28 04:12:00 PST,+131065+0j,+1.51648e+06+819674j
2013-08-28 04:13:00 PST,+131065+0j,+1.51559e+06+819769j
2013-08-28 04:14:00 PST,+131065+0j,+1.51321e+06+819100j
2013-08-28 04:15:00 PST,+131065+0j,+1.50936e+06+817673j
2013-08-28 04:16:00 PST,+131072+0j,+1.5068e+06+816979j
2013-08-28 04:17:00 PST,+131072+0j,+1.50479e+06+816762j
2013-08-28 04:18:00 PST,+131072+0j,+1.50132e+06+815784j
2013-08-28 04:19:00 PST,+131072+0j,+1.49639e+06+814057j
2013-08-28 04:20:00 PST,+131072+0j,+1.49291e+06+813081j
2013-08-28 04:21:00 PST,+131084+0j,+1.49424e+06+813844j
2013-08-28 04:22:00 PST,+131084+0j,+1.50218e+06+816077j
2013-08-28 04:23:00 PST,+131084+0j,+1.50866e+06+817546j
2013-08-28 04:24:00 PST,+131084+0j,+1.51659e+06+819779j
2013-08-28 04:25:00 PST,+131084+0j,+1.52601e+06+822771j
2013-08-28 04:26:00 PST,+131074+0j,+1.53121e+06+824200j
2013-08-28 04:27:00 PST,+131074+0j,+1.52787e+06+822913j
2013-08-28 04:28:00 PST,+131074+0j,+1.52604e+06+822396j
2013-08-28 04:29:00 PST,+131074+0j,+1.5257e+06+822646j
2013-08-28 04:30:00 PST,+131074+0j,+1.52386e+06+822129j
2013-08-28 04:31:00 PST,+131070+0j,+1.52131e+06+821052j
2013-08-28 04:32:00 PST,+131070+0j,+1.5229e+06+821499j
2013-08-28 04:33:00 PST,+131070+0j,+1.52598e+06+822712j
2013-08-28 04:34:00 PST,+131070+0j,+1.52757e+06+823160j
2013-08-28 04:35:00 PST,+131070+0j,+1.52766e+06+822839j
2013-08-28 04:36:00 PST,+131071+0j,+1.52837e+06+823043j
2013-08-28 04:37:00 PST,+131071+0j,+1.52762e+06+823175j
2013-08-28 04:38:00 PST,+131071+0j,+1.52536e+06+822540j
2013-08-28 04:39:00 PST,+131071+0j,+1.52162e+06+821141j
2013-08-28 04:40:00 PST,+131071+0j,+1.51936e+06+820507j
2013-08-28 04:41:00 PST,+131082+0j,+1.51843e+06+820628j
2013-08-28 04:42:00 PST,+131082+0j,+1.51458e+06+819542j
2013-08-28 04:43:00 PST,+131082+0j,+1.50925e+06+817701j
2013-08-28 04:44:00 PST,+131082+0j,+1.5054e+06+816619j
2013-08-28 04:45:00 PST,+131082+0j,+1.50301e+06+816295j
2013-08-28 04:46:00 PST,+131098+0j,+1.50149e+06+815927j
2013-08-28 04:47:00 PST,+131098+0j,+1.5061e+06+816878j
2013-08-28 04:48:00 PST,+131098+0j,+1.51218e+06+818587j
2013-08-28 04:49:00 PST,+131098+0j,+1.51974e+06+821055j
2013-08-28 04:50:00 PST,+131098+0j,+1.52582e+06+822768j
2013-08-28 04:51:00 PST,+131092+0j,+1.52991e+06+823551j
2013-08-28 04:52:00 PST,+131092+0j,+1.53407e+06+824723j
2013-08-28 04:53:00 PST,+131092+0j,+1.53974e+06+826664j
2013-08-28 04:54:00 PST,+131092+0j,+1.5439e+06+827839j
2013-08-28 04:55:00 PST,+131092+0j,+1.54653e+06+828234j
2013-08-28 04:56:00 PST,+131084+0j,+1.54951e+06+829046j
2013-08-28 04:57:00 PST,+131084+0j,+1.54939e+06+829356j
2013-08-28 04:58:00 PST,+131084+0j,+1.54973e+06+829671j
2013-08-28 04:59:00 PST,+131084+0j,+1.54654e+06+828428j
2013-08-28 05:00:00 PST,+131084+0j,+1.54291e+06+827183j
2013-08-28 05:01:00 PST,+131090+0j,+1.54237e+06+827400j
2013-08-28 05:02:00 PST,+131090+0j,+1.53752e+06+826029j
2013-08-28 05:03:00 PST,+131090+0j,+1.53115e+06+823894j
2013-08-28 05:04:00 PST,+131090+0j,+1.5263e+06+822526j
2013-08-28 05:05:00 PST,+131090+0j,+1.52294e+06+821929j
2013-08-28 05:06:00 PST,+131109+0j,+1.51991e+06+821141j
2013-08-28 05:07:00 PST,+131109+0j,+1.52361e+06+821837j
2013-08-28 05:08:00 PST,+131109+0j,+1.52879e+06+823299j
2013-08-28 05:09:00 PST,+131109+0j,+1.53549e+06+825526j
2013-08-28 05:10:00 PST,+131109+0j,+1.54068e+06+826990j
2013-08-28 05:11:00 PST,+131108+0j,+1.54341e+06+827413j
2013-08-28 05:12:00 PST,+131108+0j,+1.54186e+06+826973j
2013-08-28 05:13:00 PST,+131108+0j,+1.54182e+06+827308j
2013-08-28 05:14:00 PST,+131108+0j,+1.54026e+06+826867j
2013-08-28 05:15:00 PST,+131108+0j,+1.53718e+06+825656j
2013-08-28 05:16:00 PST,+131112+0j,+1.53598e+06+825330j
2013-08-28 05:17:00 PST,+131112+0j,+1.53828e+06+826324j
2013-08-28 05:18:00 PST,+131112+0j,+1.53907e+06+826547j
2013-08-28 05:19:00 PST,+131112+0j,+1.53834e+06+825997j
2013-08-28 05:20:00 PST,+131112+0j,+1.53913e+06+826220j
2013-08-28 05:21:00 PST,+131121+0j,+1.5419e+06+827376j
2013-08-28 05:22:00 PST,+131121+0j,+1.54544e+06+828376j
2013-08-28 05:23:00 PST,+131121+0j,+1.54746e+06+828597j
2013-08-28 05:24:00 PST,+131121+0j,+1.55099e+06+829597j
2013-08-28 05:25:00 PST,+131121+0j,+1.55607e+06+831374j
2013-08-28 05:26:00 PST,+131118+0j,+1.55942e+06+832311j
2013-08-28 05:27:00 PST,+131118+0j,+1.55991e+06+832103j
2013-08-28 05:28:00 PST,+131118+0j,+1.56194e+06+832678j
2013-08-28 05:29:00 PST,+131118+0j,+1.56554e+06+834037j
2013-08-28 05:30:00 PST,+131118+0j,+1.56757e+06+834613j
2013-08-28 05:31:00 PST,+131115+0j,+1.57006e+06+835179j
2013-08-28 05:32:00 PST,+131115+0j,+1.57268e+06+835921j
2013-08-28 05:33:00 PST,+131115+0j,+1.57482e+06+836649j
2013-08-28 05:34:00 PST,+131115+0j,+1.57744e+06+837391j
2013-08-28 05:35:00 PST,+131115+0j,+1.58054e+06+838143j
2013-08-28 05:36:00 PST,+131115+0j,+1.58244e+06+838681j
2013-08-28 05:37:00 PST,+131115+0j,+1.57378e+06+836353j
